Country Name,Country Code,Series Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Azerbaijan,AZE,GDPgr,1.354477318,4.714680379,5.616440269,-4.198960792,2.479808934,1.500401707,0.153614647,-3.063598454,1.049546368,2.797585434,5.843415762,2.202939023,-1.572997621,4.78883271,9.369502784,10.59143729,25.46321591,34.46620936,27.96153807,9.253801326,10.20830001,9.438916342,9.899999691,11.09999914
Azerbaijan,AZE,Oilrents,..,..,20.98337508,11.14768273,20.4577105,24.17241001,17.12356786,12.78256545,12.06957514,20.24630631,22.58378322,25.81778192,29.797955,25.51544764,26.67883009,39.50077303,36.86835137,39.58130738,37.4466296,26.83438882,23.65101381,23.25371948,23.7019954,32.94574763
Azerbaijan,AZE,Taxrevenue,..,15.44768972,13.4213203,15.18557251,14.21885265,12.97127179,13.16404551,14.55551657,15.60316293,14.21253565,13.38833316,12.77863937,12.22476095,12.15777699,14.10670899,16.42117537,..,..,..,..,..,..,..,..
Azerbaijan,AZE,ControlCorruption,-1.195471406,-1.040907383,-0.847890377,-1.078075886,-0.849681973,-0.853233695,-0.906532645,-0.852637351,-0.95257318,-1.022827625,-0.970754623,-1.142694116,-1.195314765,-1.245373249,-1.194081903,-1.156654239,-1.129073739,-1.095912457,-1.052521467,-1.18083179,-1.046231985,-1.195501924,..,-1.292382717
Azerbaijan,AZE,CPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,2.5,2.5,2.5,2.5,2.5,2.5,..,..,..,..,..
"Bahamas, The",BHS,GDP,15271300000,13896800000,12037000000,10363200000,13277000000,12819200000,12446900000,11880900000,11837600000,11139100000,10475300000,10720400000,10070450000,10095760000,9981960000,10526000000,10618340000,10167250000,9836200000,9055290000,8870090000,8881160000,8317830000,8076470000
"Bahamas, The",BHS,FDI,2.111519354,3.820404341,3.182394111,4.193683416,3.632065274,3.833349111,2.447095848,3.285946657,0.642663418,2.255814463,3.649079263,4.908128428,6.619575093,8.636992163,6.651599485,8.171729024,6.718093412,6.947601367,5.727971168,3.021438297,2.144284895,1.720383373,1.230729649,3.098507145
"Bahamas, The",BHS,GDPgr,3.048774963,10.87745501,17.58689737,-20.08955543,-0.839051301,2.398520006,3.371236486,-1.156267038,0.996748943,1.847305942,-2.86328003,4.520124103,0.613170736,1.538662487,-4.175428056,-2.32364807,1.446099912,2.516592217,3.396084205,0.882373745,-1.264916676,2.704956247,2.626009827,4.148419308
"Bahamas, The",BHS,Oilrents,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas, The",BHS,Taxrevenue,16.19800535,15.53056234,13.38953765,17.93134328,16.56020185,14.31972354,14.79055179,14.13404795,12.70142553,11.28698,11.77170037,12.03936947,13.01102086,10.76231493,11.25206873,12.12136614,11.35886589,11.24833165,10.00170798,9.428334156,9.288519057,8.999094713,9.859542693,10.67868759
"Bahamas, The",BHS,ControlCorruption,1.266910076,1.256448865,1.15235579,1.106287122,1.102298617,1.096056581,1.134972572,1.067145824,1.097260356,1.308502436,1.334695697,1.316067934,1.346852183,1.348376751,1.360019565,1.330071688,1.328009129,1.34319973,1.32878685,1.411035895,1.407789588,1.415555596,..,1.302323818
"Bahamas, The",BHS,CPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,GDP,46192260638,46458191489,40840212766,35837632979,40446808511,39567978723,37204813830,33884680851,32523297872,34772526596,33823324468,31963404255,29914680851,26805984043,22938218085,25710904255,21730000000,18504760638,15968723404,13150159574,11074813830,9593510638,8976196809,9062898936
Bahrain,BHR,FDI,15.64287561,4.200184563,4.356625979,2.849732281,2.3283798,4.180793087,3.833008912,0.718174283,0.199529633,4.36728984,11.02113061,4.832654365,2.610260386,0.581105357,1.12105291,6.977577827,8.08243219,15.75086501,6.566594458,6.580210025,4.665543678,2.261808944,0.895243944,4.011545582
